chromosome	start	end	strand	gene_id	gene_id_base	gene_version	gene_name	gene_type	level	hgnc_id	havana_gene	tag
chr1	11121	24894	+	ENSG00000290825.2	ENSG00000290825	2	DDX11L16	lncRNA	2			overlaps_pseudogene
chr1	12010	13670	+	ENSG00000223972.6	ENSG00000223972	6	DDX11L1	transcribed_unprocessed_pseudogene	2	HGNC:37102	OTTHUMG00000000961.2	
chr1	14356	30744	-	ENSG00000310526.1	ENSG00000310526	1	WASH7P	lncRNA	2	HGNC:38034		ncRNA_host,overlapping_locus,overlaps_pseudogene
chr1	14696	24886	-	ENSG00000227232.6	ENSG00000227232	6	WASH7P	transcribed_unprocessed_pseudogene	2	HGNC:38034	OTTHUMG00000000958.1	overlapping_locus
chr1	17369	17436	-	ENSG00000278267.1	ENSG00000278267	1	MIR6859-1	miRNA	3	HGNC:50039		
chr1	28589	31109	+	ENSG00000243485.6	ENSG00000243485	6	MIR1302-2HG	lncRNA	2	HGNC:52482	OTTHUMG00000000959.2	ncRNA_host
chr1	30366	30503	+	ENSG00000284332.1	ENSG00000284332	1	MIR1302-2	miRNA	3	HGNC:35294		
chr1	34553	37595	-	ENSG00000237613.3	ENSG00000237613	3	FAM138A	lncRNA	2	HGNC:32334	OTTHUMG00000000960.1	
chr1	36526	40778	+	ENSG00000308361.1	ENSG00000308361	1	ENSG00000308361	lncRNA	2			
chr1	51891	64116	+	ENSG00000290826.2	ENSG00000290826	2	ENSG00000290826	lncRNA	2			overlaps_pseudogene,overlapping_locus
chr1	52473	53312	+	ENSG00000268020.3	ENSG00000268020	3	OR4G4P	transcribed_unprocessed_pseudogene	2	HGNC:14822	OTTHUMG00000185779.1	overlapping_locus
chr1	62949	63887	+	ENSG00000240361.3	ENSG00000240361	3	OR4G11P	transcribed_unprocessed_pseudogene	2	HGNC:31276	OTTHUMG00000001095.3	
chr1	65419	71585	+	ENSG00000186092.7	ENSG00000186092	7	OR4F5	protein_coding	2	HGNC:14825	OTTHUMG00000001094.4	
chr1	89295	181719	-	ENSG00000241860.8	ENSG00000241860	8	ENSG00000241860	lncRNA	2		OTTHUMG00000002480.4	ncRNA_host,overlapping_locus,overlaps_pseudogene
chr1	89551	91105	-	ENSG00000239945.1	ENSG00000239945	1	ENSG00000239945	lncRNA	2		OTTHUMG00000001097.2	overlapping_locus
chr1	96638	105742	+	ENSG00000308314.1	ENSG00000308314	1	ENSG00000308314	lncRNA	2			
chr1	131025	134836	+	ENSG00000233750.3	ENSG00000233750	3	CICP27	processed_pseudogene	1	HGNC:48835	OTTHUMG00000001257.3	pseudo_consens
chr1	134914	136246	-	ENSG00000308579.1	ENSG00000308579	1	ENSG00000308579	lncRNA	2			overlapping_locus,overlaps_pseudogene
chr1	135141	135895	-	ENSG00000268903.1	ENSG00000268903	1	ENSG00000268903	transcribed_processed_pseudogene	2		OTTHUMG00000182518.2	overlapping_locus
chr1	137682	137965	-	ENSG00000269981.1	ENSG00000269981	1	ENSG00000269981	transcribed_processed_pseudogene	2		OTTHUMG00000182738.2	overlapping_locus
chr1	139790	140339	-	ENSG00000239906.1	ENSG00000239906	1	ENSG00000239906	lncRNA	2		OTTHUMG00000002481.1	
chr1	146386	199861	-	ENSG00000310528.1	ENSG00000310528	1	ENSG00000310528	lncRNA	2			ncRNA_host,overlapping_locus,overlaps_pseudogene
chr1	157784	157887	-	ENSG00000222623.1	ENSG00000222623	1	RNU6-1100P	snRNA	3	HGNC:48063		
chr1	160446	161525	+	ENSG00000241599.1	ENSG00000241599	1	ENSG00000241599	lncRNA	2		OTTHUMG00000002525.1	
chr1	180931	184937	+	ENSG00000308415.1	ENSG00000308415	1	DDX11L2	lncRNA	2			overlapping_locus,overlaps_pseudogene
